unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
Ya  Bo  La  Han  Cong  Na  Li  Qian  Dao  Nan  Di		a b e t e r a 罕 l 那 里 迁 a 南 地	a b r a Han t l a Qian l Nan d	a b e t e r a Han  l Na  Li  Qian  a Nan  Di	a z i p h	Ya  Bo  La  Han  Cong  Na  Li  Qian  Dao  Nan  Di	
Huan  Huo  Liao  Ba  Bai		e n o s	e n o s	e n o s	a n a n	e n o s	e n o s
Shi  Cong  Bie  Shi  Ba  Lai  De  .  ( Ben  Jie  Zai  << Ma  Suo  La  Chao  Ben  >>  Wei  1 2 : 2 )		a l 别 a p a a e （ 本 节 a 《 m a 索 l a 抄 本 》 为 1 2 : 2 h	s t Bie s a r e n ( b o n c Zai << m Suo r a Chao b o n >> s 1 2 j e h o v a h 2 )	a l Bie  a p a a e ( Ben  Jie  a << m a Suo  l a Chao  Ben  >>  Wei  1 2 : 2 h	m e l a t h	Shi  Cong  Bie  Shi  Ba  Lai  De  .  ( Ben  Jie  Zai  << Ma  Suo  La  Chao  Ben  >>  Wei  1 2 : 2 )	
Jiao  Gei  You  Da  Ren  De  Di  Ren		交 h j u d e a 敌 e	a Gei u d i d r i	Jiao  h j u d e a Di  e	j a m a n	Jiao  Gei  You  Da  Ren  De  Di  Ren	
Shen  De  Yu  Min		神 a 余 t	a r e Min	Shen  a Yu  t	s h a m a m	Shen  De  Yu  Min	
Yue  Se  Hui  Da		j o s e p h	j o s e p h	j o s e p h	j a b a b	j o s e p h	j o s e p h
Yai  Er  Ren  Yi  La  Ye  Zuo  Da  Wei  De  Ji  Si  .		睚 r e e l a e 作 t h a v i d a 祭 s e	Yai r i e r a m Zuo a s r i e h	Yai  r e e l a e Zuo  t h a v i d a Ji  s e	e l i e l	Yai  Er  Ren  Yi  La  Ye  Zuo  Da  Wei  De  Ji  Si  .	
Rang  Ta  Men  Na  Qu  Ba  .  "		l a m n a e 吧 h e	t a Men n a b a h	l a m n a e Ba  h e	j a m a n	Rang  Ta  Men  Na  Qu  Ba  .  "	
Wo  Ceng  Jing  Lue  Lue  Xie  Xin  Gei  Ni  Na  Li  De  Jiao  Hui		e 曾 经 略 略 写 h i a 那 里 a l e	p Ceng u s Lue Lue z Xin Gei e l a i a h	e Ceng  Jing  Lue  Lue  Xie  h i a Na  Li  a l e	z i p h	Wo  Ceng  Jing  Lue  Lue  Xie  Xin  Gei  Ni  Na  Li  De  Jiao  Hui	
Jiu  Zai  Gan  Lan  Shan  Na  Li		p a 橄 榄 h 那 里	a t t a Zai i a m e l a	p a Gan  Lan  h Na  Li	a z i p h	Jiu  Zai  Gan  Lan  Shan  Na  Li	
