unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
j o r o w a w e e r i	j e h o b o a b e l	j u d o a b e d	j o r o b a b e d	j u d o a b e d	j u d	j u d o a b e d	j u d o a b e d
j e r o j a r e e	j e r u s a l e m	j e r u s a l e	j e r u s a l e	j e r u s a l e	j e u d	j e r u s a l e	j e r u s a l e
r o o k a s h i	r o c a s	r o c a s	r o c a s	r o c a s	l u s	r o c a s	r o c a s
m i i r a k i	m y r a	m i r a	m i r a	m i r a	m a l	m i r a	m i r a
s e e t e	s e p h t h a h	s e t e	s e t e	s e t e	s e t h e s	s e t e	s e t e
a a s h a	a s a	a s a	a s a	a s a	a s n a h	a s a	a s a
t e m o o	t i m o n	t i m o	t i m o	t i m o	t h m u s	t i m o	t i m o
m e s o p o t a a m i y a k i	m e s o p u t a m i a	m e s u p u t a m i a	m e s o p u t a m i a	m e s u p u t a m i a	m e s h a	m e s o p u t a m i a	m e s o p u t a m i a
a r i s h i t a a r i k o	a r i s t a l c h u s	a r i s t a l c h u s	a r i s t a l i o	a r i s t a l c h u s	a l i t a s	a r i s t a l c h u s	a r i s t a l c h u s
e r y a k i i m i	e l i u c h i m	e l i a c h i m	e l i a i m	e l i a c h i m	e l	e l i a c h i m	e l i a c h i m
w o o s h o	b o s h u s	u s o n	b o s u s	u s o n	j o s u s	u s o n	u s o n
r i k a w o o n i y a w e r o	r u n i a	l c h a r o n i a	l e a u n i a	l c h a r o n i a	l a u d	l c h a r o n i a	l c h a r o n i a
i k a a t a k i n a	s a t	h a t h a n a	h a t h a n a	h a t h a n a	s a c h	h a t h a n a	h a t h a n a
w e t a a n i y a	b e t h a n n i a	b e t a n i a	b e t a n i a	b e t a n i a	b a n n a	b e t a n i a	b e t a n i a
j a a r i r e s h i k i	s a l i l s	s a l i l e s	j a l i l e s	s a l i l e s	j a r e h	s a l i l e s	s a l i l e s
m i r e e t o k i	m i t u m	m i r e t u s	m i r e t u s	m i r e t u s	m e l	m i r e t u s	m i r e t u s
e s h i t e e j a n a	s t h e s a n a	s t h e s a n a	s t h e s a n a	s t h e s a n a	s e t h e n	s t h e s a n a	s t h e s a n a
a w e e r i	a b e l	a b e d	a b e d	a b e d	e b	a b e d	a b e d
