unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
i b i r a h i	a b r a h a m	i b e r a h a	a b r a h a m	i b e r a h a	j e r a h	a b r a h a m	a b r a h a m
l a w u d u k i y a	l a o d i c e a	l a o d i c e a	l a o d i c e a	l a o d i c e a	l a u d	l a o d i c e a	l a o d i c e a
a l i y u d a	a l e u d a	a l i u d a	a l l i u d	a l i u d a	a l i o d	a l i u d a	a l i u d a
a w u f i y a	a o p h	a o p i a	a o p h i a	a o p i a	a l o p h i a	a o p i a	a o p i a
k o n i l i y u	c o n i l i u s	c o n i l i u s	c o n i l i u s	c o n i l i u s	c h o l	c o n i l i u s	c o n i l i u s
k i r i n i y u	m e s n i u s	c r i n i u s	c r i n i u s	c r i n i u s	c i s e n	c r i n i u s	c r i n i u s
i r i m i y a	r i m i a	i r i m i a	r i m e a	i r i m i a	i r i a	i r i m i a	i r i m i a
y u f i r i t i	j u p h r e t e	j u p r e t e	j u p r e t e	j u p r e t e	j o p h i a	j u p r e t e	j u p r e t e
h a m a	h e r m	h a m a	h y m e	h a m a	e m a	h a m a	h a m a
i s i t i f a n u	i s t e p h a n u s	y s t p e n u	y s t p e n u	y s t p e n u	i s i p u s	y s t p e n u	y s t p e n u
k i r i s i t i	m e s h i h a	c h r y s t	c r i s t i	c h r y s t	c i s i s	c h r y s t	c h r y s t
i d u m i y a	i d m i a	o d e s m i a	i d u m e a	o d e s m i a	j i d o m	o d e s m i a	o d e s m i a
a p o l i y o	a p o l l i u s	a p o l i o	a p o l l i o	a p o l i o	a p h o l	a p o l i o	a p o l i o
m a l a  k u		m a l c u	m a l a k	m a l c u	m a l a	m a l c u	m a l c u
i l i r i k u n	e l r i c u n	i l i r i c u n	e l e r i c u n	i l i r i c u n	j i a s	i l i r i c u n	i l i r i c u n
n i y a p a l i	n i a p p a l i	n i a p o l i s	n i a p o l i s	n i a p o l i s	n i a l	n i a p o l i s	n i a p o l i s
n a h u m	n a h u m	n a h u m	n a h u m	n a h u m	n a u s	n a h u m	n a h u m
k a  a n a		c a a n a	c a n a s	c a a n a	c a a n	c a a n a	c a a n a
f i l o l o g u s	p h i l o l o g u s	p h i l o l o u g u s	p h i l o l o u g u s	p h i l o l o u g u s	p i l o l	p h i l o l o u g u s	p h i l o l o u g u s
b o z a	p o z a	b o z a	p o z a	b o z a	b o z a	b o z a	b o z a
y a h u z a	j u d e	j i h u z a	j u d e	j i h u z a	j a u s	j u d e	j u d e
i s h a y a	i s h a n o n	i s a i a h	i s a i a h	i s a i a h	i s a a h	i s a i a h	i s a i a h
