unidecode	sequitur	moses	moses-with-pre	moses-with-post	opennmt2	consensus	weighted
i b a	e b	e b a	i b a	e b a	e b a	e b a	e b a
e b r a h i m	a b r a h i m	a b r a h i m	e b r a h i m	a b r a h i m	a b r a r	a b r a h i m	a b r a h i m
l e y o d i s i y a	l a o d i c i a	l a o d i s i a	l a o d i s i a	l a o d i s i a	l i o d i a	l a o d i s i a	l a o d i s i a
i m e y o s i		i m a e u s	i m a e u s	i m a e u s	e m e r o s	i m a e u s	i m a e u s
a p i y o s i		a p i u s	a p i u s	a p i u s	a p h i o s	a p i u s	a p i u s
k e r e s e n s i		g e r e s e n s	g e r e z e n s	g e r e s e n s	c e r e s u s	g e r e s e n s	g e r e s e n s
p i r o s i		p e r u s	p i r u s	p e r u s	p e r o s	p e r u s	p e r u s
y e r e m a y a		j e r e m a i a	j e r e m a j a	j e r e m a i a	j e r e m a h	j e r e m a i a	j e r e m a i a
m a h a w a	m a h a a	m a h a a	m a h a j a	m a h a a	m a g a l	m a h a a	m a h a a
h a m a s i	h a m a s	h a m a s	h a m a s	h a m a s	h a r a s	h a m a s	h a m a s
s o s i p a t a	s o s p a t a	s o s p a t a	s o s p a t a	s o s p a t a	s o s a p h a r	s o s p a t a	s o s p a t a
k a u d a	g a u d a	c a u d a	c a u d a	c a u d a	g a z o d	c a u d a	c a u d a
i l i r i k u m i	e l r i c u m	e l i r e c u m	i l i r e c u m i	e l i r e c u m	i l i c h u r	e l i r e c u m	e l i r e c u m
a f i y a	a p h i a	a p h i a	a p h i a	a p h i a	a p h i a	a p h i a	a p h i a
m a s i d o n i y a	m a s i d o n i a	m a s d o n i a	m a s d o n i a	m a s d o n i a	m a s i o n	m a s d o n i a	m a s d o n i a
i m a n u e l i		e m a n u e l	i m a n u e l	e m a n u e l	e m a n u l e l	e m a n u e l	e m a n u e l
n a s i s o s i		n a s s u s	n a s s o s	n a s s u s	n a n s u s	n a s s u s	n a s s u s
y u n i s i	j u n e s	j u n i s	j u n s	j u n i s	j u n e s	j u n e s	j u n i s
k a p a n i y o m i		c a p a n i u m	c a p a n i u m	c a p a n i u m	c a l a n i o m	c a p a n i u m	c a p a n i u m
f i l i p i	p h i l i p	p h i l e p e	p h i l e p e	p h i l e p e	p h i l a p	p h i l e p e	p h i l e p e
k e y a f a s i	c a p h a s	c h a i p h a s	g e j a p h a s	c h a i p h a s	c h i o p a p	c h a i p h a s	c h a i p h a s
y u d a s i	j u d a s	j u d a s	j u d a s	j u d a s	j u d a s	j u d a s	j u d a s
e s a l a y		e s a l a i	e s a l a j	e s a l a i	e s h e a l	e s a l a i	e s a l a i
e l i m a s i		e l i m a s	e l m a s	e l i m a s	e l e m a s	e l i m a s	e l i m a s
